Lenght, Index
72326,145090
40495,102800
28140,74647
9239,15759
6216,35750
5734,68870
5240,1253
5160,7910
4296,46550
4128,63998
2686,13072
2471,42687
1800,26031
1702,32367
1656,27832
1464,30230
1439,52935
1415,57878
1347,56530
1326,54397
1169,62151
1127,59294
1030,25000
724,68145
721,55742
719,6494
719,41967
719,45159
695,51543
695,52239
671,31695
670,45879
653,61497
556,63418
555,50847
485,34135
403,7214
390,34638
367,35239
364,60754
360,61119
298,29570
250,60423
232,7677
175,35046
174,29880
169,30060
124,35607
53,63326
42,29508
36,7629
30,34087
28,51514
21,54375
13,29556
8,51448
0,0
